Date,Ticker,Open_Price,High,Low,Close_Price,Volume,Dividends,Stock_Splits,Brand_Name,Industry_Tag,Country,Time
2024-11-01,AAPL,220.9700012,225.3500061,220.2700043,222.9100037,65242200,0,0,apple,technology,usa,04:00:00
2024-11-04,AAPL,220.9900055,222.7899933,219.7100067,222.0099945,44903300,0,0,apple,technology,usa,05:00:00
2024-11-05,AAPL,221.8000031,223.9499969,221.1399994,223.4499969,28044400,0,0,apple,technology,usa,05:00:00
2024-11-06,AAPL,222.6100006,226.0700073,221.1900024,222.7200012,54495200,0,0,apple,technology,usa,05:00:00
2024-11-07,AAPL,224.6300049,227.8800049,224.5700073,227.4799957,42083800,0,0,apple,technology,usa,05:00:00
2024-11-08,AAPL,227.1399994,228.6600037,226.4084015,226.9600067,37608324,0,0,apple,technology,usa,05:00:00
2024-11-11,AAPL,225,225.6999969,221.5,224.2299957,41949000,0,0,apple,technology,usa,05:00:00
2024-11-12,AAPL,224.5500031,225.5899963,223.3600006,224.2299957,40375300,0,0,apple,technology,usa,05:00:00
2024-11-13,AAPL,224.0099945,226.6499939,222.7599945,225.1199951,48528500,0,0,apple,technology,usa,05:00:00
2024-11-14,AAPL,225.0200043,228.8699951,225,228.2200012,44880200,0,0,apple,technology,usa,05:00:00
2024-11-15,AAPL,226.3999939,226.9199982,224.2700043,225,47832200,0,0,apple,technology,usa,05:00:00
2024-11-18,AAPL,225.25,229.7400055,225.1699982,228.0200043,44633700,0,0,apple,technology,usa,05:00:00
2024-11-19,AAPL,226.9799957,230.1600037,226.6600037,228.2799988,36077500,0,0,apple,technology,usa,05:00:00
2024-11-20,AAPL,228.0599976,229.9299927,225.8899994,229,35112500,0,0,apple,technology,usa,05:00:00
2024-11-21,AAPL,228.8800049,230.1600037,225.7100067,228.5200043,42071900,0,0,apple,technology,usa,05:00:00
2024-11-22,AAPL,228.0599976,230.7200012,228.0599976,229.8699951,38153300,0,0,apple,technology,usa,05:00:00
2024-11-25,AAPL,231.4600067,233.25,229.7400055,232.8699951,89984500,0,0,apple,technology,usa,05:00:00
2024-11-26,AAPL,233.3300018,235.5700073,233.3300018,235.0599976,45897300,0,0,apple,technology,usa,05:00:00
2024-11-27,AAPL,234.4700012,235.6900024,233.8099976,234.9299927,33475000,0,0,apple,technology,usa,05:00:00
2024-11-29,AAPL,234.8099976,237.8099976,233.9700012,237.3300018,28481400,0,0,apple,technology,usa,05:00:00
2024-12-02,AAPL,237.2700043,240.7899933,237.1600037,239.5899963,42439900,0,0,apple,technology,usa,05:00:00
2024-12-03,AAPL,239.8099976,242.7599945,238.8999939,242.6499939,38808200,0,0,apple,technology,usa,05:00:00
2024-12-04,AAPL,242.8699951,244.1100006,241.25,243.0099945,44353000,0,0,apple,technology,usa,05:00:00
2024-12-05,AAPL,243.9900055,244.5399933,242.1300049,243.0399933,39961900,0,0,apple,technology,usa,05:00:00
2024-12-06,AAPL,242.9100037,244.6300049,242.0800018,242.8399963,36852100,0,0,apple,technology,usa,05:00:00
2024-12-09,AAPL,241.8300018,247.2400055,241.75,246.75,44588300,0,0,apple,technology,usa,05:00:00
2024-12-10,AAPL,246.8899994,248.2100067,245.3399963,247.7700043,36873800,0,0,apple,technology,usa,05:00:00
2024-12-11,AAPL,247.9600067,250.8000031,246.2599945,246.4900055,45147600,0,0,apple,technology,usa,05:00:00
2024-12-12,AAPL,246.8899994,248.7400055,245.6799927,247.9600067,32667700,0,0,apple,technology,usa,05:00:00
2024-12-13,AAPL,247.8200073,249.2899933,246.2400055,248.1300049,33132000,0,0,apple,technology,usa,05:00:00
2024-12-16,AAPL,247.9900055,251.3800049,247.6499939,251.0399933,51665600,0,0,apple,technology,usa,05:00:00
2024-12-17,AAPL,250.0800018,253.8300018,249.7799988,253.4799957,51321700,0,0,apple,technology,usa,05:00:00
2024-12-18,AAPL,252.1600037,254.2799988,247.7400055,248.0500031,56632600,0,0,apple,technology,usa,05:00:00
2024-12-19,AAPL,247.5,252,247.0899963,249.7899933,59903900,0,0,apple,technology,usa,05:00:00
2024-12-20,AAPL,248.0399933,255,245.6900024,254.4900055,146890100,0,0,apple,technology,usa,05:00:00
2024-12-23,AAPL,254.7700043,255.6499939,253.4499969,255.2700043,40828600,0,0,apple,technology,usa,05:00:00
2024-12-24,AAPL,255.4900055,258.2099915,255.2899933,258.2000122,23234700,0,0,apple,technology,usa,05:00:00
2024-12-26,AAPL,258.1900024,260.1000061,257.6300049,259.019989,27237100,0,0,apple,technology,usa,05:00:00
2024-12-27,AAPL,257.8299866,258.7000122,253.0599976,255.5899963,42317100,0,0,apple,technology,usa,05:00:00
2024-12-30,AAPL,252.2299957,253.5,250.75,252.1999969,35500300,0,0,apple,technology,usa,05:00:00
2024-12-31,AAPL,252.4400024,253.2799988,249.4299927,250.4199982,39468700,0,0,apple,technology,usa,05:00:00
2025-01-02,AAPL,248.9299927,249.1000061,241.8200073,243.8500061,55558000,0,0,apple,technology,usa,05:00:00
2025-01-03,AAPL,243.3600006,244.1799927,241.8899994,243.3600006,40202700,0,0,apple,technology,usa,05:00:00
2025-01-06,AAPL,244.3099976,247.3300018,243.1999969,245,45007100,0,0,apple,technology,usa,05:00:00
2025-01-07,AAPL,242.9799957,245.5500031,241.3500061,242.2100067,40797900,0,0,apple,technology,usa,05:00:00
2025-01-08,AAPL,241.9199982,243.7100067,240.0500031,242.6999969,37564700,0,0,apple,technology,usa,05:00:00
2025-01-10,AAPL,240.0099945,240.1600037,233,236.8500061,61679400,0,0,apple,technology,usa,05:00:00
2025-01-13,AAPL,233.5299988,234.6699982,229.7200012,234.3999939,49555000,0,0,apple,technology,usa,05:00:00
2025-01-14,AAPL,234.75,236.1199951,232.4700012,233.2799988,39387100,0,0,apple,technology,usa,05:00:00
2025-01-15,AAPL,234.6399994,238.9600067,234.4299927,237.8699951,39783600,0,0,apple,technology,usa,05:00:00
2025-01-16,AAPL,237.3500061,238.0099945,228.0299988,228.2599945,71604800,0,0,apple,technology,usa,05:00:00
2025-01-17,AAPL,232.1199951,232.2899933,228.4799957,229.9799957,68247100,0,0,apple,technology,usa,05:00:00
2025-01-21,AAPL,224,224.4199982,219.3800049,222.6399994,97829400,0,0,apple,technology,usa,05:00:00
2025-01-22,AAPL,219.7899933,224.1199951,219.7899933,223.8300018,64028300,0,0,apple,technology,usa,05:00:00
2025-01-23,AAPL,224.7400055,227.0299988,222.3000031,223.6600037,60178200,0,0,apple,technology,usa,05:00:00
2025-01-24,AAPL,224.7799988,225.6300049,221.4100037,222.7799988,54619500,0,0,apple,technology,usa,05:00:00
2025-01-27,AAPL,224.0299988,232.1499939,224,229.8600006,94132139,0,0,apple,technology,usa,05:00:00
2025-01-28,AAPL,230.8500061,240.1900024,230.8099976,238.2599945,75633300,0,0,apple,technology,usa,05:00:00
2025-01-29,AAPL,234.1199951,239.8600006,234.0099945,239.3600006,45375500,0,0,apple,technology,usa,05:00:00
