Ticker,Brand_Name,event_date,prev_trading_day,actual_event_trading_day,next_trading_day,Tarrif_News,close_before_event,close_on_event,close_after_event,pct_change_before_to_event,pct_change_event_to_after
AAPL,apple,2025-02-01,2025-01-31,2025-02-03,2025-02-04,"25% tax on Canadian and Mexican exports to the US. 10% on China",236,228.0099945,232.8000031,-3.39,2.1
AAPL,apple,2025-02-03,2025-01-31,2025-02-03,2025-02-04,"Mexico and Canada reach a deal to pause US tariffs for one month",236,228.0099945,232.8000031,-3.39,2.1
AAPL,apple,2025-02-10,2025-02-07,2025-02-10,2025-02-11,"25% import tax on all steel and aluminium entering the US",227.6300049,227.6499939,232.6199951,0.01,2.18
AAPL,apple,2025-03-04,2025-03-03,2025-03-04,2025-03-05,"Increase on tariff for Chinese imports to 20%",238.0299988,235.9299927,235.7400055,-0.88,-0.08
AAPL,apple,2025-03-05,2025-03-04,2025-03-05,2025-03-06,"Temporarily exempts carmakers from the 25% tax imposed on Canada and Mexico",235.9299927,235.7400055,235.3300018,-0.08,-0.17
AAPL,apple,2025-03-07,2025-03-06,2025-03-07,2025-03-10,"Expands the range of goods exempted from the Canada and Mexico tariffs",235.3300018,239.0700073,227.4799957,1.59,-4.85
AAPL,apple,2025-03-12,2025-03-11,2025-03-12,2025-03-13,"The 25% steel and aluminium tariffs take effect",220.8399963,216.9799957,209.6799927,-1.75,-3.36
AAPL,apple,2025-03-26,2025-03-25,2025-03-26,2025-03-27,"Announces 25% duties on cars will apply from 2 April and on car parts at a later date but before 3 May",223.75,221.5299988,223.8500061,-0.99,1.05
AAPL,apple,2025-04-02,2025-04-01,2025-04-02,2025-04-03,"Says the US will impose reciprocal tariffs of up to 50% on certain countries and 10% on imports from all other countries",223.1900024,223.8899994,203.1900024,0.31,-9.25
AAPL,apple,2025-04-05,2025-04-04,2025-04-07,2025-04-08,"The 10% tariffs take effect",188.3800049,181.46,172.4199982,-3.67,-4.98
AAPL,apple,2025-04-09,2025-04-08,2025-04-09,2025-04-10,"Tariffs on roughly 60 countries are introduced. Announces a 90 day pause during which the 10% baseline rate will be paid. 125% tariff is applied for China",172.4199982,198.8500061,190.4199982,15.33,-4.24
AAPL,apple,2025-04-10,2025-04-09,2025-04-10,2025-04-11,"China retaliatory 84% levy on US goods takes effect. Says tariffs on China would reach 145% for some products due to a previous 20% levy for those producing the drug fentanyl",198.8500061,190.4199982,198.1499939,-4.24,4.06
AAPL,apple,2025-04-11,2025-04-10,2025-04-11,2025-04-14,China sets tariffs on US imports at 125% from 12 April.,190.4199982,198.1499939,202.5200043,4.06,2.21
ABNB,airbnb,2025-02-01,2025-01-31,2025-02-03,2025-02-04,"25% tax on Canadian and Mexican exports to the US. 10% on China",131.1699982,129.7799988,130.7400055,-1.06,0.74
ABNB,airbnb,2025-02-03,2025-01-31,2025-02-03,2025-02-04,"Mexico and Canada reach a deal to pause US tariffs for one month",131.1699982,129.7799988,130.7400055,-1.06,0.74
ABNB,airbnb,2025-02-10,2025-02-07,2025-02-10,2025-02-11,"25% import tax on all steel and aluminium entering the US",134.9799957,135.2400055,134.5200043,0.19,-0.53
ABNB,airbnb,2025-03-04,2025-03-03,2025-03-04,2025-03-05,"Increase on tariff for Chinese imports to 20%",140.9799957,141.4199982,142.5800018,0.31,0.82
ABNB,airbnb,2025-03-05,2025-03-04,2025-03-05,2025-03-06,"Temporarily exempts carmakers from the 25% tax imposed on Canada and Mexico",141.4199982,142.5800018,134.7700043,0.82,-5.48
ABNB,airbnb,2025-03-07,2025-03-06,2025-03-07,2025-03-10,"Expands the range of goods exempted from the Canada and Mexico tariffs",134.7700043,134.3899994,132.1499939,-0.28,-1.67
ABNB,airbnb,2025-03-12,2025-03-11,2025-03-12,2025-03-13,"The 25% steel and aluminium tariffs take effect",125.4400024,126.5500031,119.3799973,0.88,-5.67
ABNB,airbnb,2025-03-26,2025-03-25,2025-03-26,2025-03-27,"Announces 25% duties on cars will apply from 2 April and on car parts at a later date but before 3 May",129.8800049,128.6399994,125.6500015,-0.95,-2.32
ABNB,airbnb,2025-04-02,2025-04-01,2025-04-02,2025-04-03,"Says the US will impose reciprocal tariffs of up to 50% on certain countries and 10% on imports from all other countries",121.1800003,122.8000031,113.9700012,1.34,-7.19
ABNB,airbnb,2025-04-05,2025-04-04,2025-04-07,2025-04-08,"The 10% tariffs take effect",106.6600037,106.3,105.6900024,-0.34,-0.57
ABNB,airbnb,2025-04-09,2025-04-08,2025-04-09,2025-04-10,"Tariffs on roughly 60 countries are introduced. Announces a 90 day pause during which the 10% baseline rate will be paid. 125% tariff is applied for China",105.6900024,121.3199997,113.9100037,14.79,-6.11
ABNB,airbnb,2025-04-10,2025-04-09,2025-04-10,2025-04-11,"China retaliatory 84% levy on US goods takes effect. Says tariffs on China would reach 145% for some products due to a previous 20% levy for those producing the drug fentanyl",121.3199997,113.9100037,114.5400009,-6.11,0.55
ABNB,airbnb,2025-04-11,2025-04-10,2025-04-11,2025-04-14,China sets tariffs on US imports at 125% from 12 April.,113.9100037,114.5400009,113.2200012,0.55,-1.15
ADBE,adobe,2025-02-01,2025-01-31,2025-02-03,2025-02-04,"25% tax on Canadian and Mexican exports to the US. 10% on China",437.4500122,438.6000061,440.230011,0.26,0.37
ADBE,adobe,2025-02-03,2025-01-31,2025-02-03,2025-02-04,"Mexico and Canada reach a deal to pause US tariffs for one month",437.4500122,438.6000061,440.230011,0.26,0.37
ADBE,adobe,2025-02-10,2025-02-07,2025-02-10,2025-02-11,"25% import tax on all steel and aluminium entering the US",433.0700073,451.1000061,458.8200073,4.16,1.71
ADBE,adobe,2025-03-04,2025-03-03,2025-03-04,2025-03-05,"Increase on tariff for Chinese imports to 20%",440.7200012,446.0299988,451.2399902,1.2,1.17
ADBE,adobe,2025-03-05,2025-03-04,2025-03-05,2025-03-06,"Temporarily exempts carmakers from the 25% tax imposed on Canada and Mexico",446.0299988,451.2399902,444.7799988,1.17,-1.43
ADBE,adobe,2025-03-07,2025-03-06,2025-03-07,2025-03-10,"Expands the range of goods exempted from the Canada and Mexico tariffs",444.7799988,449.3999939,435.0799866,1.04,-3.19
ADBE,adobe,2025-03-12,2025-03-11,2025-03-12,2025-03-13,"The 25% steel and aluminium tariffs take effect",433.6600037,438.6000061,377.8399963,1.14,-13.85
ADBE,adobe,2025-03-26,2025-03-25,2025-03-26,2025-03-27,"Announces 25% duties on cars will apply from 2 April and on car parts at a later date but before 3 May",403.6400146,397.8099976,396.1499939,-1.44,-0.42
ADBE,adobe,2025-04-02,2025-04-01,2025-04-02,2025-04-03,"Says the US will impose reciprocal tariffs of up to 50% on certain countries and 10% on imports from all other countries",383.2000122,385.7799988,367.25,0.67,-4.8
ADBE,adobe,2025-04-05,2025-04-04,2025-04-07,2025-04-08,"The 10% tariffs take effect",349.0700073,340.7,340,-2.4,-0.21
ADBE,adobe,2025-04-09,2025-04-08,2025-04-09,2025-04-10,"Tariffs on roughly 60 countries are introduced. Announces a 90 day pause during which the 10% baseline rate will be paid. 125% tariff is applied for China",340,364.6400146,350.0499878,7.25,-4
ADBE,adobe,2025-04-10,2025-04-09,2025-04-10,2025-04-11,"China retaliatory 84% levy on US goods takes effect. Says tariffs on China would reach 145% for some products due to a previous 20% levy for those producing the drug fentanyl",364.6400146,350.0499878,352.4700012,-4,0.69
ADBE,adobe,2025-04-11,2025-04-10,2025-04-11,2025-04-14,China sets tariffs on US imports at 125% from 12 April.,350.0499878,352.4700012,350.9100037,0.69,-0.44
ADDYY,adidas,2025-02-01,2025-01-31,2025-02-03,2025-02-04,"25% tax on Canadian and Mexican exports to the US. 10% on China",131.1499939,130.4100037,131.6499939,-0.56,0.95
ADDYY,adidas,2025-02-03,2025-01-31,2025-02-03,2025-02-04,"Mexico and Canada reach a deal to pause US tariffs for one month",131.1499939,130.4100037,131.6499939,-0.56,0.95
ADDYY,adidas,2025-02-10,2025-02-07,2025-02-10,2025-02-11,"25% import tax on all steel and aluminium entering the US",130.4199982,132.8300018,132.3500061,1.85,-0.36
ADDYY,adidas,2025-03-04,2025-03-03,2025-03-04,2025-03-05,"Increase on tariff for Chinese imports to 20%",129.4299927,127.6299973,129.1300049,-1.39,1.18
ADDYY,adidas,2025-03-05,2025-03-04,2025-03-05,2025-03-06,"Temporarily exempts carmakers from the 25% tax imposed on Canada and Mexico",127.6299973,129.1300049,129.6900024,1.18,0.43
ADDYY,adidas,2025-03-07,2025-03-06,2025-03-07,2025-03-10,"Expands the range of goods exempted from the Canada and Mexico tariffs",129.6900024,129.9600067,122.3899994,0.21,-5.82
ADDYY,adidas,2025-03-12,2025-03-11,2025-03-12,2025-03-13,"The 25% steel and aluminium tariffs take effect",121.6699982,120.2300034,119.2699966,-1.18,-0.8
ADDYY,adidas,2025-03-26,2025-03-25,2025-03-26,2025-03-27,"Announces 25% duties on cars will apply from 2 April and on car parts at a later date but before 3 May",120.8799973,118.1100006,119.5800018,-2.29,1.24
ADDYY,adidas,2025-04-02,2025-04-01,2025-04-02,2025-04-03,"Says the US will impose reciprocal tariffs of up to 50% on certain countries and 10% on imports from all other countries",120.5599976,119.8600006,107.9400024,-0.58,-9.94
ADDYY,adidas,2025-04-05,2025-04-04,2025-04-07,2025-04-08,"The 10% tariffs take effect",106.0599976,101.92,100.3000031,-3.9,-1.59
ADDYY,adidas,2025-04-09,2025-04-08,2025-04-09,2025-04-10,"Tariffs on roughly 60 countries are introduced. Announces a 90 day pause during which the 10% baseline rate will be paid. 125% tariff is applied for China",100.3000031,113.5100021,110.5100021,13.17,-2.64
ADDYY,adidas,2025-04-10,2025-04-09,2025-04-10,2025-04-11,"China retaliatory 84% levy on US goods takes effect. Says tariffs on China would reach 145% for some products due to a previous 20% levy for those producing the drug fentanyl",113.5100021,110.5100021,112.3499985,-2.64,1.67
ADDYY,adidas,2025-04-11,2025-04-10,2025-04-11,2025-04-14,China sets tariffs on US imports at 125% from 12 April.,110.5100021,112.3499985,114.0699997,1.67,1.53
AEO,american eagle outfitters,2025-02-01,2025-01-31,2025-02-03,2025-02-04,"25% tax on Canadian and Mexican exports to the US. 10% on China",16.13999939,15.5,15.77999973,-3.97,1.81
AEO,american eagle outfitters,2025-02-03,2025-01-31,2025-02-03,2025-02-04,"Mexico and Canada reach a deal to pause US tariffs for one month",16.13999939,15.5,15.77999973,-3.97,1.81
AEO,american eagle outfitters,2025-02-10,2025-02-07,2025-02-10,2025-02-11,"25% import tax on all steel and aluminium entering the US",15.60000038,14.94999981,14.47999954,-4.17,-3.14
AEO,american eagle outfitters,2025-03-04,2025-03-03,2025-03-04,2025-03-05,"Increase on tariff for Chinese imports to 20%",12.28999996,11.98999977,12.11999989,-2.44,1.08
AEO,american eagle outfitters,2025-03-05,2025-03-04,2025-03-05,2025-03-06,"Temporarily exempts carmakers from the 25% tax imposed on Canada and Mexico",11.98999977,12.11999989,12.31000042,1.08,1.57
AEO,american eagle outfitters,2025-03-07,2025-03-06,2025-03-07,2025-03-10,"Expands the range of goods exempted from the Canada and Mexico tariffs",12.31000042,12.82999992,12.10000038,4.22,-5.69
AEO,american eagle outfitters,2025-03-12,2025-03-11,2025-03-12,2025-03-13,"The 25% steel and aluminium tariffs take effect",11.48999977,11.44999981,10.97999954,-0.35,-4.1
AEO,american eagle outfitters,2025-03-26,2025-03-25,2025-03-26,2025-03-27,"Announces 25% duties on cars will apply from 2 April and on car parts at a later date but before 3 May",12.23999977,11.97999954,11.90999985,-2.12,-0.58
AEO,american eagle outfitters,2025-04-02,2025-04-01,2025-04-02,2025-04-03,"Says the US will impose reciprocal tariffs of up to 50% on certain countries and 10% on imports from all other countries",12.21000004,12.64999962,10.43999958,3.6,-17.47
AEO,american eagle outfitters,2025-04-05,2025-04-04,2025-04-07,2025-04-08,"The 10% tariffs take effect",10.93999958,10.35,9.649999619,-5.39,-6.76
AEO,american eagle outfitters,2025-04-09,2025-04-08,2025-04-09,2025-04-10,"Tariffs on roughly 60 countries are introduced. Announces a 90 day pause during which the 10% baseline rate will be paid. 125% tariff is applied for China",9.649999619,11.27000046,10.68000031,16.79,-5.24
AEO,american eagle outfitters,2025-04-10,2025-04-09,2025-04-10,2025-04-11,"China retaliatory 84% levy on US goods takes effect. Says tariffs on China would reach 145% for some products due to a previous 20% levy for those producing the drug fentanyl",11.27000046,10.68000031,10.64000034,-5.24,-0.37
AEO,american eagle outfitters,2025-04-11,2025-04-10,2025-04-11,2025-04-14,China sets tariffs on US imports at 125% from 12 April.,10.68000031,10.64000034,10.64999962,-0.37,0.09
AMD,amd,2025-02-01,2025-01-31,2025-02-03,2025-02-04,"25% tax on Canadian and Mexican exports to the US. 10% on China",115.9499969,114.2699966,119.5,-1.45,4.58
AMD,amd,2025-02-03,2025-01-31,2025-02-03,2025-02-04,"Mexico and Canada reach a deal to pause US tariffs for one month",115.9499969,114.2699966,119.5,-1.45,4.58
AMD,amd,2025-02-10,2025-02-07,2025-02-10,2025-02-11,"25% import tax on all steel and aluminium entering the US",107.5599976,110.4800034,111.0999985,2.71,0.56
AMD,amd,2025-03-04,2025-03-03,2025-03-04,2025-03-05,"Increase on tariff for Chinese imports to 20%",98.23000336,100.75,101.6699982,2.57,0.91
AMD,amd,2025-03-05,2025-03-04,2025-03-05,2025-03-06,"Temporarily exempts carmakers from the 25% tax imposed on Canada and Mexico",100.75,101.6699982,98.84999847,0.91,-2.77
AMD,amd,2025-03-07,2025-03-06,2025-03-07,2025-03-10,"Expands the range of goods exempted from the Canada and Mexico tariffs",98.84999847,100.3099976,96.62999725,1.48,-3.67
AMD,amd,2025-03-12,2025-03-11,2025-03-12,2025-03-13,"The 25% steel and aluminium tariffs take effect",96.76000214,100.7900009,98.11000061,4.16,-2.66
AMD,amd,2025-03-26,2025-03-25,2025-03-26,2025-03-27,"Announces 25% duties on cars will apply from 2 April and on car parts at a later date but before 3 May",114.8099976,110.1900024,106.6500015,-4.02,-3.21
AMD,amd,2025-04-02,2025-04-01,2025-04-02,2025-04-03,"Says the US will impose reciprocal tariffs of up to 50% on certain countries and 10% on imports from all other countries",102.7799988,102.9599991,93.80000305,0.18,-8.9
AMD,amd,2025-04-05,2025-04-04,2025-04-07,2025-04-08,"The 10% tariffs take effect",85.76000214,83.64,78.20999908,-2.47,-6.49
AMD,amd,2025-04-09,2025-04-08,2025-04-09,2025-04-10,"Tariffs on roughly 60 countries are introduced. Announces a 90 day pause during which the 10% baseline rate will be paid. 125% tariff is applied for China",78.20999908,96.83999634,88.69999695,23.82,-8.41
AMD,amd,2025-04-10,2025-04-09,2025-04-10,2025-04-11,"China retaliatory 84% levy on US goods takes effect. Says tariffs on China would reach 145% for some products due to a previous 20% levy for those producing the drug fentanyl",96.83999634,88.69999695,93.40000153,-8.41,5.3
AMD,amd,2025-04-11,2025-04-10,2025-04-11,2025-04-14,China sets tariffs on US imports at 125% from 12 April.,88.69999695,93.40000153,94.5,5.3,1.18
AMZN,amazon,2025-02-01,2025-01-31,2025-02-03,2025-02-04,"25% tax on Canadian and Mexican exports to the US. 10% on China",237.6799927,237.4199982,242.0599976,-0.11,1.95
AMZN,amazon,2025-02-03,2025-01-31,2025-02-03,2025-02-04,"Mexico and Canada reach a deal to pause US tariffs for one month",237.6799927,237.4199982,242.0599976,-0.11,1.95
AMZN,amazon,2025-02-10,2025-02-07,2025-02-10,2025-02-11,"25% import tax on all steel and aluminium entering the US",229.1499939,233.1399994,232.7599945,1.74,-0.16
AMZN,amazon,2025-03-04,2025-03-03,2025-03-04,2025-03-05,"Increase on tariff for Chinese imports to 20%",205.0200043,203.8000031,208.3600006,-0.6,2.24
AMZN,amazon,2025-03-05,2025-03-04,2025-03-05,2025-03-06,"Temporarily exempts carmakers from the 25% tax imposed on Canada and Mexico",203.8000031,208.3600006,200.6999969,2.24,-3.68
