ticker,brand_name,volume_on_election_day,volume_on_first_tariff,pct_volume_change_election_to_tariff,volume_on_final_day,pct_volume_change_tariff_to_final,pct_volume_change_election_to_final
SQ,block,10359600,6268249,-39.49,NULL,NULL,NULL
BAMXF,bmw group,4400,116,-97.36,700,503.45,-84.09
COIN,coinbase,35358100,6514500,-81.58,6420600,-1.44,-81.84
HMC,honda,3860400,1195800,-69.02,1066400,-10.82,-72.38
PTON,peloton,24718500,10324300,-58.23,8251700,-20.07,-66.62
HD,the home depot,7129500,2761000,-61.27,2841800,2.93,-60.14
CL,colgate palmolive,8777500,11099000,26.45,3658600,-67.04,-58.32
ZI,zoominfo,14403900,6421100,-55.42,6045000,-5.86,-58.03
ZM,zoom video communications,3877200,2861500,-26.2,1660500,-41.97,-57.17
UBER,uber,26385600,19776000,-25.05,12468700,-36.95,-52.74
V,visa,10319400,8624100,-16.43,5011100,-41.89,-51.44
RBLX,roblox,8568700,10721100,25.12,4396700,-58.99,-48.69
JPM,jpmorgan chase & co,23978000,7193800,-70,13015700,80.93,-45.72
AXP,american express,5380500,2033400,-62.21,3067000,50.83,-43
FDX,fedex,2639200,2341200,-11.29,1507200,-35.62,-42.89
HSY,hershey company,2858400,1974900,-30.91,1637600,-17.08,-42.71
NTDOY,nintendo,2218800,2436700,9.82,1274700,-47.69,-42.55
TSLA,tesla,164827600,83283600,-49.47,99696500,19.71,-39.51
KO,the coca-cola company,22885500,12096800,-47.14,13921200,15.08,-39.17
AMZN,amazon,72206900,36110200,-49.99,47937000,32.75,-33.61
TM,toyota,620600,420200,-32.29,421900,0.4,-32.02
MSFT,microsoft,26656700,34161900,28.16,19234100,-43.7,-27.85
POAHY,porsche,584700,182000,-68.87,435200,139.12,-25.57
DAL,delta air lines,16680500,4482900,-73.12,12495200,178.73,-25.09
CSCO,cisco,20501500,16554200,-19.25,15657100,-5.42,-23.63
MMM,3m,4802500,4164200,-13.29,3815800,-8.37,-20.55
MA,mastercard,3673700,4505100,22.63,3005500,-33.29,-18.19
ABNB,airbnb,5103600,3046700,-40.3,4338000,42.38,-15
CROX,crocs,2381000,1674800,-29.66,2046300,22.18,-14.06
PG,procter & gamble,11472000,5464700,-52.36,9877300,80.75,-13.9
MAR,marriott,2148500,1293100,-39.81,1875700,45.05,-12.7
MCD,mcdonald's,4645000,2556500,-44.96,4068300,59.14,-12.42
PINS,pinterest,10197000,8996200,-11.78,8984300,-0.13,-11.89
GOOGL,google,33674400,32001100,-4.97,30305500,-5.3,-10
COST,costco,2436200,1873800,-23.09,2218700,18.41,-8.93
SBUX,starbucks,9706100,19136900,97.16,8879200,-53.6,-8.52
DIS,the walt disney company,11319800,7793400,-31.15,10835900,39.04,-4.27
PMMAF,puma,200,100,-50,200,100,0
AEO,american eagle outfitters,5817200,3242100,-44.27,5828200,79.77,0.19
CRM,salesforce / slack,5873000,5778000,-1.62,6038100,4.5,2.81
SPOT,spotify,2029000,1561400,-23.05,2124800,36.08,4.72
TGT,target,7502300,4056400,-45.93,8163500,101.25,8.81
NFLX,netflix,3687700,3615100,-1.97,4019800,11.19,9.01
AMD,amd,32832400,40463400,23.24,35903100,-11.27,9.35
NVDA,nvidia,240997900,388161100,61.06,263685000,-32.07,9.41
ADBE,adobe,2968400,4684300,57.81,3282900,-29.92,10.59
UBSFY,ubisoft,246100,40800,-83.42,277700,580.64,12.84
HLT,hilton,2506900,1888311,-24.68,2872600,52.13,14.59
PHG,philips,615500,683703,11.08,722400,5.66,17.37
JNJ,johnson & johnson,8925700,8457800,-5.24,10679600,26.27,19.65
LOGI,logitech,1258100,1240600,-1.39,1575800,27.02,25.25
LVMUY,lvmh,508000,285700,-43.76,652500,128.39,28.44
CMG,chipotle,10736400,8348500,-22.24,13960800,67.23,30.03
JWN,nordstrom,1703600,2060924,20.97,2469700,19.83,44.97
LUV,southwest airlines,8166600,11303400,38.41,12189100,7.84,49.26
UL,unilever,2201100,1763100,-19.9,3318900,88.24,50.78
FL,foot locker,3598400,2649515,-26.37,6163800,132.64,71.29
NKE,nike,16172900,13098000,-19.01,28329300,116.29,75.17
AAPL,apple,54495200,100959800,85.26,101203700,0.24,85.71
SHOP,shopify,5165200,7751000,50.06,10455100,34.89,102.41
ADDYY,adidas,32800,42800,30.49,292600,583.64,792.07
